Código,Nome do Exercício,grupo_muscular,musculo_foco
1,The Air Squat,,
2,The Front Squat,,
3,The Overhead Squat,,
4,The Shoulder Press,,
5,The Push Press,,
6,The Push Jerk,,
7,The Deadlift,,
8,The Sumo Deadlift High Pull,,
9,The Medicine-Ball Clean,,
10,The AbMat Sit-up,,
11,The Back Scale,,
12,The Back Squat,,
13,The Barbell Front-rack Lunge,,
14,The Bench Press,,
15,The Box Jump,,
16,The Box Step-up,,
17,The Burpee,,
18,The Burpee Box Jump-over,,
19,The Butterfly Pull-up,,
20,The Chest-to-wall Handstand Push-up,,
21,The Clean,,
22,The Clean and Jerk,,
23,The Clean and Push Jerk,,
24,The Dip,,
25,The Double-under,,
26,The Dumbbell Clean,,
27,The Dumbbell Deadlift,,
28,The Dumbbell Farmers Carry,,
29,The Dumbbell Front-rack Lunge,,
30,The Dumbbell Front Squat,,
31,The Dumbbell Hang Clean,,
32,The Dumbbell Hang Power Clean,,
33,The Dumbbell Overhead Squat,,
34,The Dumbbell Overhead Walking Lunge,,
35,The Dumbbell Power Clean,,
36,The Dumbbell Power Snatch,,
37,The Dumbbell Push Jerk,,
38,The Dumbbell Push Press,,
39,The Dumbbell Squat Snatch,,
40,The Dumbbell Thruster,,
41,The Dumbbell Turkish Get-up,,
42,The Forward Roll From Support,,
43,The Freestanding Handstand Push-up,,
44,The Front Scale,,
45,The GHD Back Extension,,
46,The GHD Hip and Back Extension,,
47,The GHD Hip Extension,,
48,The GHD Sit-up,,
49,The Glide Kip,,
50,The Good Morning,,
51,The Handstand,,
52,The Handstand Pirouette,,
53,The Handstand Push-up Variations,,
54,The Handstand Walk,,
55,The Hang Clean,,
56,The Hang Clean and Push Jerk,,
57,The Hanging L-sit,,
58,The Hang Power Clean,,
59,The Hang Power Snatch,,
60,The Hang Snatch,,
61,The Inverted Burpee,,
62,The Kettlebell Snatch,,
63,The Kettlebell Swing,,
64,The Kipping Bar Muscle-up,,
65,The Kipping Chest-to-bar Pull-up,,
66,The Kipping Deficit Handstand Push-up,,
67,The Kipping Handstand Push-up,,
68,The Kipping Muscle-up,,
69,The Kipping Pull-up,,
70,The Kipping Toes-to-bar,,
71,The Legless Rope Climb,,
72,The L Pull-up,,
73,The L-sit,,
74,The L-sit on Rings,,
75,The L-sit Rope Climb,,
76,The L-sit to Shoulder Stand,,
77,The Medicine-ball Clean,,
78,The Modified Rope Climb,,
79,The Muscle Snatch,,
80,The Power Clean,,
81,The Power Clean and Split Jerk,,
82,The Power Snatch,,
83,The Pull-over,,
84,The Push-up,,
85,The Ring Dip,,
86,The Ring Push-up,,
87,The Ring Row,,
88,The Rope Climb (Basket),,
89,The Rope Climb (Wrapping),,
90,The Row,,
91,The Shoot-through,,
92,The Single-leg Squat (Pistol),,
93,The Single-under,,
94,The Skin the Cat,,
95,The Slam Ball,,
96,The Snatch,,
97,The Snatch Balance,,
98,The Sots Press,,
99,The Split Clean,,
100,The Split Jerk,,
101,The Split Snatch,,
102,The Straddle Press to Handstand,,
103,The Strict Bar Muscle-up,,
104,The Strict Chest-to-bar Pull-up,,
105,The Strict Handstand Push-up,,
106,The Strict Knees-to-elbows,,
107,The Strict Muscle-up,,
108,The Strict Pull-up,,
109,The Strict Toes-to-bar,,
110,The Strict Toes-to-rings,,
111,The Sumo Deadlift,,
112,The Swing to Backward Roll to Support,,
113,The Thruster,,
114,The Walking Lunge,,
115,The Wall-ball Shot,,
116,The Wall Walk,,
117,The Windshield Wiper,,
118,The Zercher Squat,,
